algorithm,descriptors,training_set,word_embedding,MRR
craftdroid,union,android,w2v,0.664955844
craftdroid,craftdroid,blogs,w2v,0.664179222
craftdroid,craftdroid,blogs,fast,0.663716758
craftdroid,craftdroid,googleplay,glove,0.66084439
craftdroid,union,blogs,fast,0.660803011
atm,union,android,glove,0.659782944
craftdroid,craftdroid,android,w2v,0.658791509
craftdroid,union,standard,bert,0.65612029
atm,union,standard,fast,0.655528331
craftdroid,craftdroid,standard,bert,0.654899942
craftdroid,union,empty,jaccard,0.654084538
atm,craftdroid,standard,bert,0.653876332
craftdroid,craftdroid,empty,edit_distance,0.650686593
craftdroid,union,android,fast,0.649977653
craftdroid,craftdroid,empty,jaccard,0.647960735
atm,craftdroid,android,glove,0.639930055
craftdroid,craftdroid,android,fast,0.639120886
atm,craftdroid,standard,fast,0.638173347
atm,craftdroid,googleplay,glove,0.635048509
atm,craftdroid,blogs,glove,0.630878242
atm,union,standard,glove,0.630209283
atm,craftdroid,standard,w2v,0.629574916
atm,union,blogs,glove,0.628077703
atm,craftdroid,standard,glove,0.627259058
atm,craftdroid,googleplay,w2v,0.623776707
atm,union,empty,edit_distance,0.622853125
atm,craftdroid,blogs,w2v,0.622766432
atm,craftdroid,android,w2v,0.618538391
atm,union,googleplay,w2v,0.616502492
atm,union,blogs,fast,0.608496588
atm,union,android,w2v,0.607716653
atm,craftdroid,android,fast,0.605942532
atm,union,android,fast,0.605226535
